cod_manifestacao,Nome da Ponte,UF,Município,A) A ponte está mal iluminada?,B) A sinalização na ponte é inadequada?,C) Há acúmulo de lixo ou entulho na ponte?,D) Há sinais visíveis de ferrugem ou rachaduras?,E) A ponte apresenta trepidação excessiva ao passar veículos?,F) A estrutura da ponte aparenta má conservação?,G) Há dificuldades de acesso para pedestres ou ciclistas?,H) Há buracos ou desníveis na ponte?,I) A ponte apresenta tráfego frequentemente congestionado?,J) A ponte possui guarda-corpos danificados ou ausentes?,K) Você se sente desconfortável/inseguro ao passar na ponte?,Pontuação
302,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
303,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
304,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
305,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
306,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
307,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
308,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
309,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
310,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
311,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
312,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
313,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
314,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
315,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
316,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
317,Ponte Dom Hélder Câmara,MT,Cuiabá,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25
318,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
319,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
320,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
321,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
322,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
323,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
324,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
325,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
326,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
327,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
328,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
329,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
330,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
331,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
332,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
333,Ponte JK,SP,São Paulo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21
334,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
335,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
336,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
337,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
338,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
339,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
340,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
341,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
342,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
343,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
344,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
345,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
346,Ponte Metálica,SC,Florianópolis,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24
347,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
348,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
349,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
350,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
351,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
352,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
353,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
354,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
355,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
356,Ponte Nelson Mandela,DF,Brasília,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,22
357,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
358,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
359,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
360,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
361,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
362,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
363,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
364,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
365,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
366,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
367,Ponte Deputado Manoel Novaes,RJ,Rio de Janeiro,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26
368,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
369,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
370,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
371,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
372,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
373,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
374,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
375,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
376,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
377,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
378,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
379,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
380,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
381,Ponte Do Fandango,AM,Manaus,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27
382,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
383,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
384,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
385,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
386,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
387,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
388,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
389,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
390,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
391,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
392,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
393,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
394,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
395,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
396,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
397,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
398,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
399,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
400,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23
401,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
402,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
403,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
404,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
405,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
406,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
407,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
408,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
409,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
410,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
411,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
412,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
413,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
414,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
415,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
416,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
417,Ponte Da Vila Velha,GO,Goiânia,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo,22
418,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
419,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
420,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
421,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
422,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
423,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
424,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
425,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
426,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
427,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
428,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
429,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
430,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
431,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
432,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
433,Ponte Engenheiro Vasco Filho,TO,Palmas,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,22
