cod_manifestacao,Nome da Ponte,UF,Município,A) A ponte está mal iluminada?,B) A sinalização na ponte é inadequada?,C) Há acúmulo de lixo ou entulho na ponte?,D) Há sinais visíveis de ferrugem ou rachaduras?,E) A ponte apresenta trepidação excessiva ao passar veículos?,F) A estrutura da ponte aparenta má conservação?,G) Há dificuldades de acesso para pedestres ou ciclistas?,H) Há buracos ou desníveis na ponte?,I) A ponte apresenta tráfego frequentemente congestionado?,J) A ponte possui guarda-corpos danificados ou ausentes?,K) Você se sente desconfortável/inseguro ao passar na ponte?,Pontuação
264,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
265,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
266,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
267,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
268,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
269,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
270,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
271,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
272,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
273,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
274,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
275,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
276,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
277,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
278,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
279,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
280,Ponte Deputado Manoel Novaes,BA,Jacobina,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Neutro,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Neutro,26.0
281,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
282,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
283,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
284,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
285,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
286,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
287,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
288,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
289,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
290,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
291,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
292,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
293,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
294,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
295,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
296,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
297,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
298,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
299,Ponte Newton Navarro,RN,Natal,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,18.0
300,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
301,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
302,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
303,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
304,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
305,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
306,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
307,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
308,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
309,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
310,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
311,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
312,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
313,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
314,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
315,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
316,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
317,Ponte Dom Hélder Câmara,PE,Recife,Discordo Totalmente,Concordo Totalmente,Discordo Totalmente,Neutro,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,25.0
318,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
319,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
320,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
321,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
322,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
323,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
324,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
325,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
326,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
327,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
328,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
329,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
330,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
331,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
332,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
333,Ponte JK,DF,Brasília,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo Totalmente,Neutro,Concordo,Concordo,Concordo,21.0
334,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
335,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
336,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
337,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
338,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
339,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
340,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
341,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
342,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
343,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
344,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
345,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
346,Ponte Metálica,CE,Quixeramobim,Concordo Totalmente,Discordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Discordo,Concordo Totalmente,24.0
357,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
358,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
359,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
360,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
361,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
362,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
363,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
364,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
365,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
366,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
367,Ponte Deputado Manoel Novaes,BA,Jacobina,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Neutro,Concordo,Discordo,Concordo Totalmente,Concordo,Neutro,Neutro,26.0
368,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
369,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
370,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
371,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
372,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
373,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
374,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
375,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
376,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
377,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
378,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
379,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
380,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
381,Ponte Do Fandango,RS,Cachoeira do Sul,Discordo,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Neutro,Neutro,Neutro,27.0
382,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
383,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
384,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
385,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
386,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
387,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
388,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
389,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
390,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
391,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
392,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
393,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
394,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
395,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
396,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
397,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
398,Ponte Do Trabalhador,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,23.0
